timestamp,value1,value2
2020.0,88.95752858215282,68.45669291338582
2019.907702729329,88.87208247705054,68.36266895729653
2019.7906717300145,88.76360179165995,68.24340768003744
2019.5285118603633,88.52004299900335,67.97694168222245
2019.0235700490146,88.04880182179161,67.4644657026803
2018.0897480684364,87.17008168694727,66.51727523382287
2017.0,86.13316106152651,65.41269082518993
2014.8403914630208,84.04392534609232,63.22858806978112
2014.0,83.21944318103112,62.38137742686633
2011.250804845996,80.48263345065945,59.62586670683827
2011.0,80.23022942561106,59.37598393239871
2008.919434197937,78.12149848104546,57.315122941220515
2008.0,77.1821974940653,56.412126292144535
2005.268060975838,74.37145282427154,53.76250699168235
2002.536322876836,71.54382755457438,51.17213241900155
1998.3378973396266,67.20317968523874,47.330881583248356
1993.5357245188088,62.315932951069186,43.18384405368946
1987.5092798094424,56.4254462977585,38.407876062291024
1980.427224912784,50.01815163148946,33.45424801749897
1971.6185810154686,43.00986316602356,28.28337525344362
1961.0395208879397,36.06971066478263,23.37885911442907
1950.8054503587346,30.750477883323022,19.744307531596682
1940.036801643596,26.360350644562278,16.815718038764288
1928.832022806875,22.804156731280457,14.487103325279328
1916.920002541707,19.86306932566751,12.59071764692468
1904.1880703280412,17.41521748666475,11.034618947259295
1890.416494919353,15.34851084052158,9.739599775626033
1875.3792854337294,13.583291930353452,8.650812283025061
1858.7601858229038,12.055303539208694,7.725265631907823
1840.125371847885,10.714334509059396,6.930103112593119
1818.8283729222223,9.519443570585016,6.239042561437009
1794.2338039127726,8.451186990546322,5.638890827184686
1767.5606224897592,7.555750065541382,5.1531937885812305
1739.998370979215,6.832923417035126,4.776548489634495
1711.2118618288496,6.235682670224949,4.478167030579233
1681.4788962779028,5.743450893606113,4.2430419948268
1650.5752971693753,5.332643735772715,4.055907638192131
1618.5889857496998,4.990055233523799,3.9076761133915245
1585.1442456786672,4.701165855213924,3.78933659035661
1550.3621337726765,4.459151756284438,3.6963653263795435
1513.813966420489,4.254759853449128,3.623488848435085
1475.4253559327217,4.082755432520982,3.5678214643202084
1433.6683872543183,3.9340096007863266,3.5243421931257983
1391.078670342451,3.813809665194773,3.4953181815470753
1344.1639574785524,3.708802687989164,3.475589739227994
1294.5638773100968,3.6208461733920827,3.4654612846600807
1239.9130983684256,3.543476833557085,3.4631617854428565
1177.2988735286867,3.472425533204797,3.4669780409618474
1142.3872966214462,3.439005905388656,3.4721641396081915
1088.1818216481254,3.3928333819560836,3.4827593278705167
998.2085280007177,3.327392423077709,3.4996436589283793
982.1316910315813,3.317130538254102,3.5037932227404744
961.0514096129053,3.303992089362708,3.509353649751949
939.9593436204665,3.291174666508971,3.515023138008058
920.0617225331767,3.2793449621056667,3.5204686810410992
870.028154964558,3.250549893287769,3.5347214025273757
852.7048377723553,3.2408305909568496,3.539670737897322
825.5751185704395,3.225847854568045,3.547510344174178
792.0805249353069,3.207701115202249,3.5573445777799844
730.3277801481537,3.175204590609328,3.5750996437066562
682.6572238000829,3.15068748943916,3.590011196148012
662.7978619675064,3.1405675874746044,3.5960420820125454
643.0339481136704,3.130560462612205,3.602116917453485
622.8679080874433,3.1204016508212766,3.6083695037704375
592.6622178701068,3.1052862519829487,3.6176787144396982
548.6234731878815,3.0834416079330604,3.631571693110215
520.5774980438144,3.069616206747957,3.640397306559526
493.57275789041523,3.056374533299532,3.648927757864672
469.5967291773807,3.0446726461945635,3.6565342471256423
447.25329046421245,3.033806907227891,3.663665980323224
411.1512138794403,3.0163216049208907,3.6752755610842933
372.28355018975856,2.997620949655982,3.6878067065476365
344.89986905624795,2.9844848386092706,3.6966842504005437
311.99754624319553,2.9687713522057915,3.7073479116040366
290.85880171595767,2.9587089180539103,3.7142652116012793
272.16043171659277,2.9498308762971543,3.7203673950438048
249.3993180122896,2.9390587696843813,3.727797951000192
217.22477958419734,2.9238904908972136,3.738354119928318
183.83824183721936,2.908211782792912,3.749382061193374
161.92572710864727,2.897961867631948,3.7566132842149793
142.89338558744967,2.8890821399950437,3.762940829997695
96.3858954553312,2.8674309136882434,3.7786372510241875
59.531073707363966,2.8503759608610606,3.7908962412894724
29.355748970825463,2.8364606110863786,3.8011036240379217
-0.5255701528889389,2.8227240121077184,3.811218369149011
-23.818721339678337,2.8120454492605425,3.8191505502715333
-64.1437438377639,2.7936314445211186,3.8328625168128263
-110.58909839724609,2.7724840575900696,3.849070984106124
-141.38085603444392,2.758528051131885,3.8595764255449163
-171.69604574296818,2.7448417637936733,3.870050943681626
-192.36253608513746,2.735544272353376,3.8772164881979103
-215.66887469390414,2.7250937291703576,3.8852976345586177
-249.4631286792717,2.710003624023073,3.8969946351835594
-275.774382873864,2.69830391553957,3.906215202062217
-298.8412812992367,2.6880782588237477,3.9143111694200945
-318.15720643006114,2.6795352197256928,3.921131517650637
-342.7185193601644,2.6686929832558843,3.929827510747589
-362.04861399913506,2.6601839517898687,3.9366829043695932
-388.64789262608554,2.648497825460421,3.946174932749759
-420.11145599945706,2.63471858415024,3.9573879176096636
-471.28731247386594,2.6123901063205657,3.975978710618084
-497.57071839306053,2.600958637880472,3.985412576719048
-521.3491160051321,2.590655584949466,3.9939929993943375
-541.73061679597,2.581849548754247,4.001396027315385
-564.8081642434164,2.571898411872249,4.009827123750319
-598.1931152177051,2.557546349405464,4.022052017554636
-669.4886927881038,2.526739384369312,4.046691831452873
-712.4119001153589,2.509065810583339,4.062505538417501
-757.4384559611201,2.490458472744168,4.079573543863574
-787.8515889435643,2.477850562844415,4.091041100090794
-815.3753459474694,2.466441719925123,4.1014333196040935
-838.1395343182983,2.45700601594341,4.110084187874259
-875.2707405547438,2.4416420913004084,4.124142700431853
-898.6990221288377,2.431967763310627,4.133100669847214
-920.5550775435889,2.422956113999342,4.141444916880592
-943.3098443305923,2.4135983039692634,4.150129152659188
-977.7911658915086,2.3994510073333744,4.163457364423972
-1002.600854674665,2.3892896401719734,4.173038259355278
-1051.7525412132277,2.3692022127900447,4.192274711103868
-1074.8341594955991,2.359811124675557,4.201176794308378
-1126.2831469516668,2.3389166210054135,4.2217472653886645
-1152.3314358931475,2.3283490139167355,4.231975776181011
-1181.8793400155976,2.3164197338425887,4.243629794557607
-1206.1135639950646,2.3066754487097816,4.253223636988655
-1230.957345462541,2.296718746364954,4.263091744402167
-1253.8413695687295,2.2875844484264864,4.272204279972319
-1301.692071761518,2.268527330459482,4.291632917370976
-1322.8868295862756,2.260116327059915,4.300116121574569
-1345.0188289387186,2.251365772237847,4.309046322352966
-1367.2416807059772,2.24260202129323,4.318045398306557
-1390.922587098955,2.233300752641374,4.3276287296367135
-1423.7093047740418,2.220477817386238,4.340975518813796
-1445.259140164188,2.2120698168806565,4.349846590379326
-1482.9685616311865,2.1973977125439594,4.36542223085616
-1510.6371038075665,2.186677637210448,4.376822338183216
-1534.721564303128,2.177378662925472,4.38680074737452
-1583.3512765864964,2.1586324109479484,4.407394425507901
-1606.9859211597038,2.1495443205337366,4.417249270239362
-1632.3283761023172,2.139841947594786,4.427884458077931
-1654.7386765999095,2.131285844803851,4.437330110420141
-1680.0453005413858,2.12166628540072,4.447987706624334
-1713.4122082510928,2.109040241246532,4.462125966827302
-1735.3586779134935,2.100754072027238,4.471538995063696
-1754.3115269249759,2.093614313393692,4.479639153939055
-1780.1911090289295,2.0838988384903057,4.490711885901801
-1815.0651334552904,2.0708620239724675,4.505703868329952
-1837.8177085135912,2.062377095322541,4.515591845015573
-1878.1006403213382,2.0473924293107935,4.533221596138156
-1909.0980291210271,2.0359028374329156,4.546758227280557
-1934.7525428132228,2.026422107409308,4.5580359537817055
-1956.1011456964445,2.018555783158563,4.567425989838293
-1978.0505728482221,2.010494335148865,4.5771063846218665
-2000.0,2.0024513877057535,4.586830022727933
